k,Standard,MMR,Ensemble,Ensemble+Rerank
1,1.0,1.0,1.0,1.0
3,0.8,0.9333333333333333,1.0,0.8
5,0.8,0.9199999999999999,0.9199999999999999,0.72
10,0.76,0.8400000000000001,0.78,0.78
20,0.6399999999999999,0.6399999999999999,0.7,0.7
