k,Standard,MMR,Ensemble,Ensemble+Rerank
1,0.05190293916609706,0.05190293916609706,0.05190293916609706,0.05190293916609706
3,0.11661107313738892,0.1414231032125769,0.15570881749829119,0.12089678742310321
5,0.19560492139439506,0.23470266575529736,0.2404237867395762,0.17904032809295967
10,0.375352016404648,0.41745727956254275,0.3930348598769651,0.3946520847573479
20,0.6253028024606972,0.6253028024606972,0.6975365686944635,0.6992125768967874
