k,Standard,MMR,Ensemble,Ensemble+Rerank
1,0.05,0.05,0.05,0.05
3,0.15,0.15,0.15,0.1
5,0.25,0.25,0.2,0.2
10,0.5,0.5,0.45,0.4
20,0.75,0.75,0.7,0.8
