k,Standard,MMR,Ensemble,Ensemble+Rerank
1,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,0.6666666666666666
5,1.0,1.0,0.8,0.8
10,1.0,1.0,0.9,0.8
20,0.75,0.75,0.7,0.8
