k,Standard,MMR,Ensemble,Ensemble+Rerank
1,0.04,0.04,0.04,0.04
3,0.12,0.12,0.12,0.12
5,0.2,0.2,0.2,0.16
10,0.4,0.4,0.4,0.36
20,0.68,0.68,0.76,0.68
