k,Standard,MMR,Ensemble,Ensemble+Rerank
1,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,0.8
10,1.0,1.0,1.0,0.9
20,0.85,0.85,0.95,0.85
