k,Standard,MMR,Ensemble,Ensemble+Rerank
1,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
3,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.14285714285714285
5,0.14285714285714285,0.2857142857142857,0.35714285714285715,0.14285714285714285
10,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.42857142857142855
20,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.6428571428571429
