k,Standard,MMR,Ensemble,Ensemble+Rerank
1,1.0,1.0,1.0,1.0
3,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666
5,0.4,0.8,1.0,0.4
10,0.5,0.5,0.6,0.6
20,0.3,0.3,0.5,0.45
